acs_met2013,pre_covid_slr,hhinc,pov,college,employed,renter,age25_44,age45_64,commute,density,vacancy,valueh,rooms,bedrooms,valueh_pre,valueh_post,log_value_change,met2013,statefip
"springfield, ma",.98965776,470379.1910650965,305.65198,.21453363,.48152822,.317662,.23732196,.27626494,10.590405,2476.574232050446,0,3830601.51695566,5.7996235,3.7721131,3813310.827096148,3898832.324773405,.022179309,"Springfield, MA",25
"springfield, mo",.98747671,357621.0423918558,275.0542,.19429621,.46923718,.33492273,.25312433,.24082945,9.7245302,1198.944174991705,0,3907943.460415407,6.2175493,3.966464,3891423.292198305,3544158.371032481,-.093474254,"Springfield, MO",29
"springfield, oh",.9859339,321159.1084424263,288.04822,.13071409,.46183521,.33685419,.22143334,.27584818,9.8145447,930.7000000000006,0,3842613.362596057,6.1444278,3.8163898,3901668.197942778,3169824.949623797,-.20772783,"Springfield, OH",39
"st. george, ut",.98757267,219611.9310406616,290.10266,.1642867,.39392143,.29295659,.21893866,.19561681,6.0190282,351.1999999999999,0,3529820.449007581,6.5493727,4.2372913,3608410.762060084,3154487.766677691,-.13444132,"St. George, UT",49
"st. joseph, mo-ks",.97440875,730726.1428005215,267.987,.15833744,.43750882,.28873661,.25079271,.27972627,8.4659138,538.5,0,3829990.444828072,6.2135534,3.7469172,3791966.792730588,3302011.343393612,-.13835305,"St. Joseph, MO-KS",29
"st. louis, mo-il",.98541582,319424.2103103955,325.91281,.2443641,.4950906,.26572561,.25631505,.27579272,11.930358,2215.392200861479,0,3185157.139703847,6.4222054,3.9329853,3207878.705018451,2910753.890822195,-.097197764,"St. Louis, MO-IL",17
"state college, pa",.99199843,1322374.282262901,279.19073,.29532713,.45975775,.26558059,.23143367,.2385134,8.1195993,724.099999999999,0,4130647.721498605,5.8640318,3.4702275,4332132.658802436,4425036.455709165,.021218566,"State College, PA",42
"stockton-lodi, ca",.9990465,290809.8262107937,285.33511,.11509433,.41583967,.4343797,.25927392,.23773034,12.993682,3521.167041019724,0,4934832.362781459,5.8303757,4.0331931,4950382.027208242,4220380.211152707,-.15953954,"Stockton-Lodi, CA",6
"syracuse, ny",.98484981,596483.1692889446,304.61047,.21898639,.47510204,.27580109,.22953333,.28362182,9.3637638,2120.53802107514,0,3510633.792950254,6.3096256,3.8388398,3487322.556468084,3344072.394067697,-.041944921,"Syracuse, NY",36
"tampa-st. petersburg-clearwater, fl",.97742116,241230.1857184088,302.21988,.22298536,.46124724,.34255838,.24591343,.28092709,11.370405,2821.22816533078,0,3877809.342675768,5.766274,3.767868,3890007.094297738,3482962.585050208,-.11052773,"Tampa-St. Petersburg-Clearwater, FL",12
"toledo, oh",.97473907,362576.1258194447,291.57178,.19533467,.47644979,.3327207,.23678502,.27276921,9.3378201,2158.781419102135,0,3862125.711861531,6.3384867,3.8660345,3826456.052788676,3446252.160872161,-.10465175,"Toledo, OH",39
